id,pokedex_no,P_name,forme,hidden_ability,description1,description2,class,percent_female,pre-evolution
166,166,Ledian,Ledian,Iron Fist,"While it’s believed that starlight provides it with energy, this Pokémon also loves to eat berries. In the daytime, it curls up in the grass to sleep.","In battle, it throws punches with all four arms. The power of each individual blow is piddly, so it aims to win by quantity rather than quality.",Five Star Pokémon,0.5,Ledyba
167,167,Spinarak,Spinarak,Sniper,"It waits intently until its preferred prey, Cutiefly, gets caught in its web. In fact, it’s quite a patient Pokémon.",Some fishermen weave its sturdy thread into nets to catch fish Pokémon.,String Spit Pokémon,0.5,
168,168,Ariados,Ariados,Sniper,There are some areas where people use the string Ariados spins for their own weaving. The resulting cloth is popular for its strength.,It spins thread from both its rear and its mouth. Then it wraps its prey up in thread and sips their bodily fluids at its leisure.,Long Leg Pokémon,0.5,Spinarak
169,169,Crobat,Crobat,Infiltrator,"Both its legs became wings, and as a result, it can’t move well on the ground. All it can do is crawl around.","Silent and swift in its four-winged flight, it bites down on its prey before they realize what’s happening. In a heartbeat, it drains their blood.",Bat Pokémon,0.5,Golbat
170,170,Chinchou,Chinchou,Water Absorb,Its two antennae were originally fins. It discharges electricity to stun its prey before attacking.,It lives in the depths beyond the reach of sunlight. It flashes lights on its antennae to communicate with others of its kind.,Angler Pokémon,0.5,
171,171,Lanturn,Lanturn,Water Absorb,"Should you peer into the ocean at night and see a light shining like the stars, that is Lanturn.",This Pokémon flashes a bright light that blinds its prey. This creates an opening for it to deliver an electrical attack.,Light Pokémon,0.5,Chinchou
172,172,Pichu,Pichu,Lightning Rod,"It is not yet skilled at controlling electricity. If you take your eyes off it, it may shock itself.","Despite this Pokémon’s cute appearance, those who want to live with one should prepare to be on the receiving end of its electric jolts.",Tiny Mouse Pokémon,0.5,
173,173,Cleffa,Cleffa,Friend Guard,"On late nights illuminated by shooting stars, it gazes intently skyward, as if thinking of its home.","Because of its silhouette, it’s believed to be a star reborn. For some reason, it loves Minior.",Star Shape Pokémon,0.75,
174,174,Igglybuff,Igglybuff,Friend Guard,"It likes to sing but is not yet good at it. With praise and encouragement, it will get better little by little.","It moves by bouncing along. As it moves a lot, it sweats, and its body gives off a sweet aroma.",Balloon Pokémon,0.75,
175,175,Togepi,Togepi,Super Luck,,,Spike Ball Pokémon,0.125,
176,176,Togetic,Togetic,Super Luck,,,Happiness Pokémon,0.125,Togepi
177,177,Natu,Natu,Magic Bounce,,,Tiny Bird Pokémon,0.5,
178,178,Xatu,Xatu,Magic Bounce,,,Mystic Pokémon,0.5,Natu
179,179,Mareep,Mareep,Plus,,,Wool Pokémon,0.5,
180,180,Flaaffy,Flaaffy,Plus,,,Wool Pokémon,0.5,Mareep
181,181,Ampharos,Ampharos,Plus,,,Light Pokémon,0.5,Flaaffy
182,182,Bellossom,Bellossom,Healer,,,Flower Pokémon,0.5,Gloom
183,183,Marill,Marill,Sap Sipper,,,Aqua Mouse Pokémon,0.5,Azurill
184,184,Azumarill,Azumarill,Sap Sipper,,,Aqua Rabbit Pokémon,0.5,Marill
185,185,Sudowoodo,Sudowoodo,Rattled,"To avoid attack, it mimics a tree. It will run off if splashed with water, which it hates.","Apparently, the larger the green parts of this Pokémon, the more collectors value it. It’s a particular favorite among elderly people.",Imitation Pokémon,0.5,Bonsly
186,186,Politoed,Politoed,Drizzle,"They gather on moonlit nights to form a large chorus. Their cries sound angry and not at all pleasant, but they are certainly distinctive.","It’s the leader of Poliwag and Poliwhirl. When Politoed roars, they all cower in fear.",Frog Pokémon,0.5,Poliwhirl
187,187,Hoppip,Hoppip,Infiltrator,,,Cottonweed Pokémon,0.5,
188,188,Skiploom,Skiploom,Infiltrator,,,Cottonweed Pokémon,0.5,Hoppip
189,189,Jumpluff,Jumpluff,Infiltrator,,,Cottonweed Pokémon,0.5,Skiploom
190,190,Aipom,Aipom,Skill Link,,,Long Tail Pokémon,0.5,
191,191,Sunkern,Sunkern,Early Bird,,,Seed Pokémon,0.5,
192,192,Sunflora,Sunflora,Early Bird,,,Sun Pokémon,0.5,Sunkern
193,193,Yanma,Yanma,Frisk,,,Clear Wing Pokémon,0.5,
194,194,Wooper,Wooper,Unaware,,,Water Fish Pokémon,0.5,
195,195,Quagsire,Quagsire,Unaware,,,Water Fish Pokémon,0.5,Wooper
196,196,Espeon,Espeon,Magic Bounce,It can instantaneously sense its opponent’s movements by feeling air currents with its fine fur.,"It unleashes psychic power from the orb on its forehead. When its power is exhausted, the orb grows dull and dark.",Sun Pokémon,0.125,Eevee
197,197,Umbreon,Umbreon,Inner Focus,"When this Pokémon becomes angry, its pores secrete a poisonous sweat, which it sprays at its opponent’s eyes.","With its black fur, it blends into the darkness. It bides its time, and when prey appears, this Pokémon goes for its throat, and then eats it.",Moonlight Pokémon,0.125,Eevee
198,198,Murkrow,Murkrow,Prankster,"They awaken at dusk and take wing in the twilight, leading to the expression, “Get home before the Murkrow fly.”","Seen as a symbol of bad luck, it’s generally disliked. Yet it gives presents—objects that sparkle or shine—to Trainers it’s close to.",Darkness Pokémon,0.5,
199,199,Slowking,Slowking,Regenerator,"A poisonous bite reacted with its system, blessing it with the enhanced intellect of a genius. It has full control of its psychic powers.","This Pokémon is so famed for its intellect that a proverb still persists in some regions: “When in doubt, ask Slowking.”",Royal Pokémon,0.5,Slowpoke
200,200,Misdreavus,Misdreavus,,It will use any means necessary to frighten people and absorb their life energy. It practices constantly to hone its skill in causing fear.,"If you hear a sobbing sound emanating from a vacant room, it’s undoubtedly a bit of mischief from Misdreavus.",Screech Pokémon,0.5,
201,201,Unown,Unown,,,,Symbol Pokémon,,Misdreavus
202,202,Wobbuffet,Wobbuffet,Telepathy,,,Patient Pokémon,0.5,Wynaut
203,203,Girafarig,Girafarig,Sap Sipper,,,Long Neck Pokémon,0.5,
204,204,Pineco,Pineco,Overcoat,,,Bagworm Pokémon,0.5,
205,205,Forretress,Forretress,Overcoat,,,Bagworm Pokémon,0.5,Pineco
206,206,Dunsparce,Dunsparce,Rattled,,,Land Snake Pokémon,0.5,
207,207,Gligar,Gligar,Immunity,,,Fly Scorpion Pokémon,0.5,
208,208,Steelix,Steelix,Sheer Force,,,Iron Snake Pokémon,0.5,Onix
209,209,Snubbull,Snubbull,Rattled,"Despite its intimidating face, it’s quite cowardly. Its desperate attempts to appear threatening make it popular with people.",Its growls make its opponents uneasy. This laid-back Pokémon tends to sleep half the day.,Fairy Pokémon,0.5,
210,210,Granbull,Granbull,Rattled,"Its well-developed lower jaw and heavy fangs are its weapons. As long as it’s not provoked, it rarely bites.","More timid than Snubbull, this Pokémon is doted on by young people amused at the contrast between its looks and its attitude.",Fairy Pokémon,0.5,Snubbull
211,211,Qwilfish,Qwilfish,Intimidate,,,Balloon Pokémon,0.5,
212,212,Scizor,Scizor,Light Metal,"It uses its wings to adjust its body temperature. Otherwise, its metal body would become too hot and melt in the heat of battle.","Once it has identified an enemy, this Pokémon smashes it mercilessly with pincers hard as steel.",Pincer Pokémon,0.5,Scyther
213,213,Shuckle,Shuckle,Contrary,,,Mold Pokémon,0.5,
214,214,Heracross,Heracross,Moxie,,,Single Horn Pokémon,0.5,
215,215,Sneasel,Sneasel,Pickpocket,"It has a cunning yet savage disposition. It waits for parents to leave their nests, and then it sneaks in to steal their eggs.",It uses its claws to poke holes in eggs so it can slurp out the insides. Breeders consider it a scourge and will drive it away or eradicate it.,Sharp Claw Pokémon,0.5,
216,216,Teddiursa,Teddiursa,Honey Gather,,,Little Bear Pokémon,0.5,
217,217,Ursaring,Ursaring,Unnerve,,,Hibernator Pokémon,0.5,Teddiursa
218,218,Slugma,Slugma,Weak Armor,,,Lava Pokémon,0.5,
219,219,Magcargo,Magcargo,Weak Armor,,,Lava Pokémon,0.5,Slugma
220,220,Swinub,Swinub,Thick Fat,,,Pig Pokémon,0.5,
221,221,Piloswine,Piloswine,Thick Fat,,,Swine Pokémon,0.5,Swinub
222,222,Corsola,Corsola,Regenerator,"Coral branches grow from its head. They break off quite easily, but they grow back in about three days.","Pursued by Mareanie for the branches on its head, this Pokémon will sometimes snap its own branches off as a diversion while it escapes.",Coral Pokémon,0.5,
223,223,Remoraid,Remoraid,Moody,,,Jet Pokémon,0.5,
224,224,Octillery,Octillery,Moody,,,Jet Pokémon,0.5,Remoraid
225,225,Delibird,Delibird,Insomnia,"Although it naturally prefers colder locales, Delibird in Alola seem able to withstand the heat to a certain extent.","It has a generous habit of sharing its food with people and Pokémon, so it’s always scrounging around for more food.",Delivery Pokémon,0.5,
226,226,Mantine,Mantine,Water Veil,,,Kite Pokémon,0.5,Mantyke
227,227,Skarmory,Skarmory,Weak Armor,"Its feathers, which fall off as it grows, are thin and sharp. In times long past, warriors used them as swords.","Its metal body is sturdy, but it does rust rather easily. So on rainy days, this Pokémon prefers to stay put in its nest.",Armor Bird Pokémon,0.5,
228,228,Houndour,Houndour,Unnerve,,,Dark Pokémon,0.5,
229,229,Houndoom,Houndoom,Unnerve,,,Dark Pokémon,0.5,Houndour
230,230,Kingdra,Kingdra,Damp,,,Dragon Pokémon,0.5,Seadra
231,231,Phanpy,Phanpy,Sand Veil,,,Long Nose Pokémon,0.5,
232,232,Donphan,Donphan,Sand Veil,,,Armor Pokémon,0.5,Phanpy
233,233,Porygon2,Porygon2,Analytic,"For the purposes of planetary development, Porygon was updated with the most cutting-edge technology available.",Porygon was updated to a new version in readiness for planetary development. But that dream remains unrealized as yet.,Virtual Pokémon,,Porygon
234,234,Stantler,Stantler,Sap Sipper,,,Big Horn Pokémon,0.5,
235,235,Smeargle,Smeargle,Moody,The unique creations produced by each Smeargle are painted using the fluid that oozes from its tail. This is how it marks its territory.,"It draws symbols all over the place to mark its territory. In towns with many Smeargle, the walls are covered in graffiti.",Painter Pokémon,0.5,
236,236,Tyrogue,Tyrogue,Vital Spirit,,,Scuffle Pokémon,0.0,
237,237,Hitmontop,Hitmontop,Steadfast,,,Handstand Pokémon,0.0,Tyrogue
238,238,Smoochum,Smoochum,Hydration,,,Kiss Pokémon,1.0,
239,239,Elekid,Elekid,Vital Spirit,"When it’s in a house, electrical outlets serve as its baby bottles. It sucks down electricity.",This Pokémon is constantly fighting with Togedemaru that try to steal its electricity. It’s a pretty even match.,Electric Pokémon,0.25,
240,240,Magby,Magby,Vital Spirit,"Many of these Pokémon can be seen in areas with volcanic activity. Feeding can get them so excited, they exhale flames of 1,100 degrees F.",A famous potter lives with a Magby. Apparently its soft flames produce fine works.,Live Coal Pokémon,0.25,
241,241,Miltank,Miltank,Sap Sipper,"Its milk is high in calories and packed with nutrients. Therefore, if you drink too much of it, you may wind up with a body like Miltank’s.","Most people raise it for its milk, but it’s quite tough and strong, so it’s also well suited for battle.",Milk Cow Pokémon,1.0,
242,242,Blissey,Blissey,Healer,"Even the most ferocious Pokémon become calm when they eat Blissey’s egg, which is said to be filled with happiness.","Its fluffy fur coat acts as a sensor, enabling it to read the feelings of people and Pokémon.",Happiness Pokémon,1.0,Chansey
243,243,Raikou,Raikou,Inner Focus,,,Thunder Pokémon,,
244,244,Entei,Entei,Inner Focus,,,Volcano Pokémon,,
245,245,Suicune,Suicune,Inner Focus,,,Aurora Pokémon,,
246,246,Larvitar,Larvitar,Sand Veil,,,Rock Skin Pokémon,0.5,
247,247,Pupitar,Pupitar,,,,Hard Shell Pokémon,0.5,Larvitar
248,248,Tyranitar,Tyranitar,Unnerve,,,Armor Pokémon,0.5,Pupitar
249,249,Lugia,Lugia,Multiscale,,,Diving Pokémon,,
250,250,Ho-Oh,Ho-Oh,Regenerator,,,Rainbow Pokémon,,
251,251,Celebi,Celebi,,,,Time Travel Pokémon,,
252,252,Treecko,Treecko,Unburden,,,Wood Gecko Pokémon,0.125,
253,253,Grovyle,Grovyle,Unburden,,,Wood Gecko Pokémon,0.125,Treecko
254,254,Sceptile,Sceptile,Unburden,,,Forest Pokémon,0.125,Grovyle
255,255,Torchic,Torchic,Speed Boost,,,Chick Pokémon,0.125,
256,256,Combusken,Combusken,Speed Boost,,,Young Fowl Pokémon,0.125,Torchic
257,257,Blaziken,Blaziken,Speed Boost,,,Blaze Pokémon,0.125,Combusken
258,258,Mudkip,Mudkip,Damp,,,Mud Fish Pokémon,0.125,
259,259,Marshtomp,Marshtomp,Damp,,,Mud Fish Pokémon,0.125,Mudkip
260,260,Swampert,Swampert,Damp,,,Mud Fish Pokémon,0.125,Marshtomp
261,261,Poochyena,Poochyena,Rattled,,,Bite Pokémon,0.5,
262,262,Mightyena,Mightyena,Moxie,,,Bite Pokémon,0.5,Poochyena
263,263,Zigzagoon,Zigzagoon,Quick Feet,,,Tiny Raccoon Pokémon,0.5,
264,264,Linoone,Linoone,Quick Feet,,,Rushing Pokémon,0.5,Zigzagoon
265,265,Wurmple,Wurmple,Run Away,,,Worm Pokémon,0.5,
266,266,Silcoon,Silcoon,,,,Cocoon Pokémon,0.5,Wurmple
267,267,Beautifly,Beautifly,Rivalry,,,Butterfly Pokémon,0.5,Silcoon
268,268,Cascoon,Cascoon,,,,Cocoon Pokémon,0.5,Wumple
269,269,Dustox,Dustox,Compound Eyes,,,Poison Moth Pokémon,0.5,Cascoon
270,270,Lotad,Lotad,Own Tempo,,,Water Weed Pokémon,0.5,
271,271,Lombre,Lombre,Own Tempo,,,Jolly Pokémon,0.5,Lotad
272,272,Ludicolo,Ludicolo,Own Tempo,,,Carefree Pokémon,0.5,Lombre
273,273,Seedot,Seedot,Pickpocket,,,Acorn Pokémon,0.5,
274,274,Nuzleaf,Nuzleaf,Pickpocket,,,Wily Pokémon,0.5,Seedot
275,275,Shiftry,Shiftry,Pickpocket,,,Wicked Pokémon,0.5,Nuzleaf
276,276,Taillow,Taillow,Scrappy,,,Tiny Swallow Pokémon,0.5,
277,277,Swellow,Swellow,Scrappy,,,Swallow Pokémon,0.5,Taillow
278,278,Wingull,Wingull,Rain Dish,Its hollow bones enhance its lightness. It spreads its wings to the wind and soars away into the sky.,"Fishermen keep an eye out for Wingull in the sky, because wherever they’re circling, the ocean is sure to be teeming with fish Pokémon.",Seagull Pokémon,0.5,
279,279,Pelipper,Pelipper,Rain Dish,Its spacious beak is large enough for a small child to fit right inside.,Gathering food is the work of young males. They store food in their capacious beaks and carry it back to others waiting in the nest.,Water Bird Pokémon,0.5,Wingull
280,280,Ralts,Ralts,Telepathy,,,Feeling Pokémon,0.5,
281,281,Kirlia,Kirlia,Telepathy,,,Emotion Pokémon,0.5,Ralts
282,282,Gardevoir,Gardevoir,Telepathy,,,Embrace Pokémon,0.5,Kirlia
283,283,Surskit,Surskit,Rain Dish,It moves as if skating on the surface of the water. It often fights with Dewpider over food.,"When this Pokémon senses danger, a sweet fluid oozes from the tip of its head. The taste of it disgusts bird Pokémon.",Pond Skater Pokémon,0.5,
284,284,Masquerain,Masquerain,Unnerve,It intimidates enemies with the eye-like patterns on its antennae. Its four wings allow it to fly in any direction.,"Its wings and antennae don’t cope well with moisture. After a rain, it faces sunward to dry off.",Eyeball Pokémon,0.5,Surskit
285,285,Shroomish,Shroomish,Quick Feet,,,Mushroom Pokémon,0.5,
286,286,Breloom,Breloom,Technician,,,Mushroom Pokémon,0.5,Shroomish
287,287,Slakoth,Slakoth,,,,Slacker Pokémon,0.5,
288,288,Vigoroth,Vigoroth,,,,Wild Monkey Pokémon,0.5,Slakoth
289,289,Slaking,Slaking,,,,Lazy Pokémon,0.5,Vigoroth
290,290,Nincada,Nincada,Run Away,,,Trainee Pokémon,0.5,
291,291,Ninjask,Ninjask,Infiltrator,,,Ninja Pokémon,0.5,Nincada
292,292,Shedinja,Shedinja,Wonder Guard,,,Shed Pokémon,,Nincada
293,293,Whismur,Whismur,Rattled,,,Whisper Pokémon,0.5,
294,294,Loudred,Loudred,Scrappy,,,Big Voice Pokémon,0.5,Whismur
295,295,Exploud,Exploud,Scrappy,,,Loud Noise Pokémon,0.5,Loudred
296,296,Makuhita,Makuhita,Sheer Force,"It was originally brought in from another region, but now Makuhita from Alola are more famous.","Their daily routine consists of training together first thing in the morning, eating and napping in the afternoon, and then more training afterward.",Guts Pokémon,0.5,
297,297,Hariyama,Hariyama,Sheer Force,"It is known for its fantastic strength, but as it grows older, it focuses more on training Makuhita.",They love to compare their freakish strength— strength enough to send a truck flying with a single slap.,Arm Thrust Pokémon,0.5,Makuhita
298,298,Azurill,Azurill,Sap Sipper,,,Polka Dot Pokémon,0.75,
299,299,Nosepass,Nosepass,Sand Force,"The magnet in Nosepass’s nose provides an unerring compass, making it an excellent partner for Trainers going on a journey.","It uses powerful magnetism to drag its prey toward it. It’s also been known to pull in metal, which it collects and uses to protect itself.",Compass Pokémon,0.5,
300,300,Skitty,Skitty,Wonder Skin,,,Kitten Pokémon,0.75,
301,301,Delcatty,Delcatty,Wonder Skin,,,Prim Pokémon,0.75,Skitty
302,302,Sableye,Sableye,Prankster,"It’s a fiend for gemstones, so it stalks Carbink. Unfortunately, Gabite almost always grabs them first.","This Pokémon is feared. When its gemstone eyes begin to glow with a sinister shine, it’s believed that Sableye will steal people’s spirits away.",Darkness Pokémon,0.5,
303,303,Mawile,Mawile,Sheer Force,,,Deceiver Pokémon,0.5,
304,304,Aron,Aron,Heavy Metal,,,Iron Armor Pokémon,0.5,
305,305,Lairon,Lairon,Heavy Metal,,,Iron Armor Pokémon,0.5,Aron
306,306,Aggron,Aggron,Heavy Metal,,,Iron Armor Pokémon,0.5,Lairon
307,307,Meditite,Meditite,Telepathy,,,Meditate Pokémon,0.5,
308,308,Medicham,Medicham,Telepathy,,,Meditate Pokémon,0.5,Meditite
309,309,Electrike,Electrike,Minus,,,Lightning Pokémon,0.5,
310,310,Manectric,Manectric,Minus,,,Discharge Pokémon,0.5,Electrike
311,311,Plusle,Plusle,Lightning Rod,,,Cheering Pokémon,0.5,
312,312,Minun,Minun,Volt Absorb,,,Cheering Pokémon,0.5,
313,313,Volbeat,Volbeat,Prankster,,,Firefly Pokémon,0.0,
314,314,Illumise,Illumise,Prankster,,,Firefly Pokémon,1.0,
315,315,Roselia,Roselia,Leaf Guard,,,Thorn Pokémon,0.5,Budew
316,316,Gulpin,Gulpin,Gluttony,,,Stomach Pokémon,0.5,
317,317,Swalot,Swalot,Gluttony,,,Poison Bag Pokémon,0.5,Gulpin
318,318,Carvanha,Carvanha,Speed Boost,Each school has its own territory. Any intruders are mercilessly attacked with fangs bared.,"If they scent the faintest trace of blood, they rush to attack en masse. When alone, they’re rather cowardly.",Savage Pokémon,0.5,
319,319,Sharpedo,Sharpedo,Speed Boost,It pursues its prey at speeds of 75 mph and finishes them off with fangs that can crush iron. It is known as the bully of the sea.,"It has a sad history. In the past, its dorsal fin was a treasured foodstuff, so this Pokémon became a victim of overfishing.",Brutal Pokémon,0.5,Carvanha
320,320,Wailmer,Wailmer,Pressure,It loves to startle people. It fills itself up with seawater and plays by bouncing around like a ball.,It shows off by spraying jets of seawater from the nostrils above its eyes. It eats a solid ton of Wishiwashi every day.,Ball Whale Pokémon,0.5,
321,321,Wailord,Wailord,Pressure,"Wailord pursue their prey in pods. With their large mouths, they can swallow entire schools of Wishiwashi whole.",Its immense size is the reason for its popularity. Wailord watching is a favorite sightseeing activity in various parts of the world.,Float Whale Pokémon,0.5,Wailmer
322,322,Numel,Numel,Own Tempo,,,Numb Pokémon,0.5,
323,323,Camerupt,Camerupt,Anger Point,,,Eruption Pokémon,0.5,Numel
324,324,Torkoal,Torkoal,Shell Armor,Coal is the source of Torkoal’s energy. Large amounts of coal can be found in the mountains where they live.,"If the fire burning within its shell goes out, it will die. Those who wish to raise one in their home must always keep something flammable at hand.",Coal Pokémon,0.5,
325,325,Spoink,Spoink,Gluttony,,,Bounce Pokémon,0.5,
326,326,Grumpig,Grumpig,Gluttony,,,Manipulate Pokémon,0.5,Spoink
327,327,Spinda,Spinda,Contrary,"Its steps are staggering and unsteady, but Spinda thinks it’s walking in a straight line.",Each and every Spinda has a slightly different configuration of spots. There are collectors who enjoy the tiny differences in their spot patterns.,Spot Panda Pokémon,0.5,
328,328,Trapinch,Trapinch,Sheer Force,It can live for a week without eating a thing. It waits patiently at the bottom of its nest for prey to appear.,"As it digs through the sand, its giant jaws crush any rocks that obstruct its path. It builds a funnel-shaped nest.",Ant Pit Pokémon,0.5,
329,329,Vibrava,Vibrava,,"Rather than using its underdeveloped wings for flight, it rubs them together, producing ultrasonic waves to attack its enemies.","To help make its wings grow, it dissolves quantities of prey in its digestive juices and guzzles them down every day.",Vibration Pokémon,0.5,Trapinch
330,330,Flygon,Flygon,,"The flapping of its wings sounds something like singing. Those lured by the sound are enveloped in a sandstorm, becoming Flygon’s prey.",This Pokémon hides in the heart of sandstorms it creates and seldom appears where people can see it.,Mystic Pokémon,0.5,Vibrava
331,331,Cacnea,Cacnea,Water Absorb,,,Cactus Pokémon,0.5,
332,332,Cacturne,Cacturne,Water Absorb,,,Scarecrow Pokémon,0.5,Cacnea
333,333,Swablu,Swablu,Cloud Nine,,,Cotton Bird Pokémon,0.5,
334,334,Altaria,Altaria,Cloud Nine,,,Humming Pokémon,0.5,Swablu
335,335,Zangoose,Zangoose,Toxic Boost,,,Cat Ferret Pokémon,0.5,
336,336,Seviper,Seviper,Infiltrator,,,Fang Snake Pokémon,0.5,
337,337,Lunatone,Lunatone,,,,Meteorite Pokémon,,
338,338,Solrock,Solrock,,,,Meteorite Pokémon,,
339,339,Barboach,Barboach,Hydration,"Its two whiskers provide a sensitive radar. Even in muddy waters, it can detect its prey’s location.","Its slippery body is hard to grasp, so much so that there are festivals where people compete to see how many they can catch barehanded.",Whiskers Pokémon,0.5,
340,340,Whiscash,Whiscash,Hydration,"A glutton that devours anything that moves, it quietly lurks at the bottom of swamps, lying in wait for prey.",Sighting Whiscash leaping from the water is believed to herald an earthquake.,Whiskers Pokémon,0.5,Barboach
341,341,Corphish,Corphish,Adaptability,,,Ruffian Pokémon,0.5,
342,342,Crawdaunt,Crawdaunt,Adaptability,,,Rogue Pokémon,0.5,Corphish
343,343,Baltoy,Baltoy,,,,Clay Doll Pokémon,,
344,344,Claydol,Claydol,,,,Clay Doll Pokémon,,Baltoy
345,345,Lileep,Lileep,Storm Drain,,,Sea Lily Pokémon,0.125,
346,346,Cradily,Cradily,Storm Drain,,,Barnacle Pokémon,0.125,Lileep
347,347,Anorith,Anorith,Swift Swim,,,Old Shrimp Pokémon,0.125,
348,348,Armaldo,Armaldo,Swift Swim,,,Plate Pokémon,0.125,Anorith
349,349,Feebas,Feebas,Adaptability,"A tough Pokémon that is perfectly fine even in dirty water. However, due to its ragged, shabby appearance, it isn’t popular.","Although unattractive and unpopular, this Pokémon’s marvelous vitality has made it a subject of research.",Fish Pokémon,0.5,
350,350,Milotic,Milotic,Cute Charm,Milotic has provided inspiration to many artists. It has even been referred to as the most beautiful Pokémon of all.,"It lives at the bottom of clear lakes. In times of war, it shows itself, which soothes people’s minds and hearts.",Tender Pokémon,0.5,Feebas
351,351,Castform,Castform (Normal),,It changes its form depending on the weather. Changes in the temperature or humidity appear to affect its cellular structure.,"Its form changes on its own, due to its cells’ sensitive reactions to temperature and humidity.",Weather Pokémon,0.5,
352,352,Kecleon,Kecleon,Protean,,,Color Swap Pokémon,0.5,
353,353,Shuppet,Shuppet,Cursed Body,,,Puppet Pokémon,0.5,
354,354,Banette,Banette,Cursed Body,,,Marionette Pokémon,0.5,Shuppet
355,355,Duskull,Duskull,Frisk,,,Requiem Pokémon,0.5,
356,356,Dusclops,Dusclops,Frisk,,,Beckon Pokémon,0.5,Duskull
357,357,Tropius,Tropius,Harvest,,,Fruit Pokémon,0.5,
358,358,Chimecho,Chimecho,,,,Wind Chime Pokémon,0.5,Chingling
359,359,Absol,Absol,Justified,"Long ago, superstitions were spread about it, saying it brought disaster. This fed a hatred of it, and it was driven deep into the mountains.","Although it’s said to bring disaster, in actuality, this Pokémon possesses a calm disposition and warns people of any crises that loom.",Disaster Pokémon,0.5,
360,360,Wynaut,Wynaut,Telepathy,,,Bright Pokémon,0.5,
361,361,Snorunt,Snorunt,Moody,Their numbers seem to have rapidly increased in Alola. Custom has it that houses where Snorunt live will be prosperous for generations to come.,"It can only survive in cold areas. It bounces happily around, even in environments as cold as -150 degrees Fahrenheit.",Snow Hat Pokémon,0.5,
362,362,Glalie,Glalie,Moody,"Legend says a boulder on an icy mountain absorbed the distress and regrets of a stranded mountaineer, giving rise to Glalie.","Its prey is instantaneously frozen stiff by the cold air it exhales from its huge mouth. While they’re in that frozen state, it gobbles them up.",Face Pokémon,0.5,Snorunt
363,363,Spheal,Spheal,Oblivious,,,Clap Pokémon,0.5,
364,364,Sealeo,Sealeo,Oblivious,,,Ball Roll Pokémon,0.5,Spheal
365,365,Walrein,Walrein,Oblivious,,,Ice Break Pokémon,0.5,Sealeo
366,366,Clamperl,Clamperl,Rattled,,,Bivalve Pokémon,0.5,
367,367,Huntail,Huntail,Water Veil,,,Deep Sea Pokémon,0.5,Clamperl
368,368,Gorebyss,Gorebyss,Hydration,,,South Sea Pokémon,0.5,Clamperl
369,369,Relicanth,Relicanth,Sturdy,"Its form has remained the same for one hundred million years. Its body is filled with fat, so it can withstand the water pressure of the deep sea.","It was fortuitously discovered during a deep sea expedition. Its teeth have atrophied, so it now survives on microscopic organisms it sucks up.",Longevity Pokémon,0.5,
370,370,Luvdisc,Luvdisc,Hydration,"If a Luvdisc is left on its own, it becomes despondent, leaving itself open to attack. That is when Pelipper snatch them up.","Loving couples have a soft spot for this Pokémon, so honeymoon hotels often release this Pokémon into their pools.",Rendezvous Pokémon,0.75,
371,371,Bagon,Bagon,Sheer Force,Its belief that it will be able to fly one day is apparently the influence of information carried in its genes.,"With its steel-hard stone head, it headbutts indiscriminately. This is because of the stress it feels at being unable to fly.",Rock Head Pokémon,0.5,
372,372,Shelgon,Shelgon,Overcoat,"The cells within its shell transform with explosive speed, preparing it for evolution.","They lurk deep within caves—motionless, neither eating nor drinking. Why they don’t die is not known.",Endurance Pokémon,0.5,Bagon
373,373,Salamence,Salamence,Moxie,"When angered, it loses all sense of itself and destroys everything around it. The destruction will continue until Salamence has tired itself out.","It flies around on its wings, which have grown in at last. In its happiness, it gushes hot flames, burning up the fields it passes over.",Dragon Pokémon,0.5,Shelgon
374,374,Beldum,Beldum,Light Metal,Its cells are all magnets. It uses magnetism to communicate with others of its kind.,"With magnetic traction, it pulls its opponents in close. When they’re in range, it slashes them with its rear claws.",Iron Ball Pokémon,,
375,375,Metang,Metang,Light Metal,"When two Beldum link together, their psychic power is doubled. Their intelligence, however, remains unchanged.","It adores magnetic minerals, so it pursues Nosepass at speeds exceeding 60 mph.",Iron Claw Pokémon,,Beldum
376,376,Metagross,Metagross,Light Metal,It firmly pins its prey using its four claws and large body. Then the teeth in the mouth on its stomach chew the prey to bits.,"A linkage of two Metang, this Pokémon can perform any calculation in a flash by utilizing parallel processing in its four brains.",Iron Leg Pokémon,,Metang
377,377,Regirock,Regirock,Sturdy,,,Rock Peak Pokémon,,
378,378,Regice,Regice,Ice Body,,,Iceberg Pokémon,,
379,379,Registeel,Registeel,Light Metal,,,Iron Pokémon,,
380,380,Latias,Latias,,,,Eon Pokémon,1.0,
381,381,Latios,Latios,,,,Eon Pokémon,0.0,
382,382,Kyogre,Kyogre,,,,Sea Basin Pokémon,,
383,383,Groudon,Groudon,,,,Continent Pokémon,,
384,384,Rayquaza,Rayquaza,,,,Sky High Pokémon,,
385,385,Jirachi,Jirachi,,,,Wish Pokémon,,
386,386,Deoxys,Deoxys (Normal Forme),,,,DNA Pokémon,,
387,387,Turtwig,Turtwig,Shell Armor,,,Tiny Leaf Pokémon,0.125,
388,388,Grotle,Grotle,Shell Armor,,,Grove Pokémon,0.125,Turtwig
389,389,Torterra,Torterra,Shell Armor,,,Continent Pokémon,0.125,Grotle
